Probe;AWA_3_03_Rz;INSTRON 8852TT;1605F;46NTA5-1-1-2;PMD;840749
Maschine [mm]	Kraft [kN]	Clip-Gauge [mm]	Drehmoment [Nm]	MX840A_0_CH 5 [°C]	MX840A_0_CH 6 [mm]	MX840A_0_CH 7 [V]	MX840A_0_CH 8 [°C]	Zeit [s]	Kanal 10	Kanal 11	Kanal 12	Kanal 13	Kanal 14	Kanal 15
0.00000E+00	1.64994E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-9.07898E-04	1.60204E-01	-4.69645E-05	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.40000E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-1.86920E-03	1.55527E-01	-1.34706E-04	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.30001E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-7.70569E-04	1.59511E-01	4.29912E-05	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	6.40001E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-1.09100E-03	1.63501E-01	-2.80093E-05	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.40001E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-1.62506E-03	1.51982E-01	-1.53335E-04	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.05000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
-1.47247E-03	1.55641E-01	-1.26368E-04	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.24000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.79999E-03	2.18359E-01	2.03361E-04	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.45000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
9.36890E-03	2.95713E-01	7.53193E-04	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.66000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.54724E-02	3.85434E-01	1.18669E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.87000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.15683E-02	4.78740E-01	1.80771E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.08000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.75879E-02	5.69197E-01	2.28655E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.27000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
3.38440E-02	6.72174E-01	3.11497E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.48000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
3.95966E-02	7.77833E-01	3.66975E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.68000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
4.60663E-02	9.09016E-01	4.71483E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	2.89000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
5.23071E-02	1.04076E+00	5.54326E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.09000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
5.79910E-02	1.16136E+00	6.36595E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.30000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
6.44455E-02	1.29074E+00	7.01642E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.51000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
6.98547E-02	1.41941E+00	7.95148E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.71001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
7.67899E-02	1.55983E+00	8.90432E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.92001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
8.23364E-02	1.69778E+00	9.77405E-03	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.12001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
8.91266E-02	1.86003E+00	1.07441E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.33001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
9.54971E-02	2.02088E+00	1.17066E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.54001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.01669E-01	2.15531E+00	1.26773E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.74001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.06857E-01	2.31852E+00	1.38954E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	4.94001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.14006E-01	2.47237E+00	1.47591E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	5.15001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.20193E-01	2.63343E+00	1.57289E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	5.35001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.25793E-01	2.78288E+00	1.67528E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	5.56001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.32530E-01	2.96032E+00	1.78474E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	5.77001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.38794E-01	3.12933E+00	1.88951E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	5.97001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.44508E-01	3.28811E+00	1.99202E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	6.18001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.52168E-01	3.49679E+00	2.12349E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	6.40001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.57272E-01	3.65656E+00	2.23012E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	6.59001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.64223E-01	3.84668E+00	2.32830E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	6.81001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.70013E-01	4.02389E+00	2.45291E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.02001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.76201E-01	4.21655E+00	2.55844E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.23001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.82159E-01	4.38717E+00	2.66911E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.44001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.89293E-01	4.60317E+00	2.80020E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.65001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.95099E-01	4.78273E+00	2.93728E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.86001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.02110E-01	5.01184E+00	3.06161E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.08001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.07237E-01	5.15180E+00	3.16137E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.27001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.14195E-01	5.37299E+00	3.28029E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.47001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.20146E-01	5.55965E+00	3.39240E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.67001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.26311E-01	5.74636E+00	3.50807E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	8.87001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.31483E-01	5.93102E+00	3.62087E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	9.08001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.37686E-01	6.13130E+00	3.75023E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	9.28001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.44171E-01	6.32520E+00	3.86159E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	9.48001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.50603E-01	6.52072E+00	3.99304E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	9.68001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.56935E-01	6.72778E+00	4.09897E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	9.89001E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.63260E-01	6.90983E+00	4.20482E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.00900E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.69432E-01	7.11086E+00	4.33996E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.03000E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.74696E-01	7.29495E+00	4.45008E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.05000E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.81357E-01	7.51168E+00	4.57622E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.07100E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.88063E-01	7.71637E+00	4.70946E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.09200E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.93419E-01	7.91641E+00	4.82078E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.11200E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
3.00385E-01	8.12246E+00	4.94783E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.13300E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
3.06305E-01	8.32527E+00	5.07671E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.15300E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
3.12912E-01	8.53781E+00	5.20856E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.17400E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
