,SpecimenName,Aging Temp [°C],Aging Time [h],Creep Stress [MPa],Dataset,Position_Id,Image,ROIs,DiskRadiusValue [px],Threshold Method,Threshold Size,Dilation Kernel Size [px],Date
0,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 10 DF 30s,https://metadata.omero.matolab.org/api/image/83,https://metadata.omero.matolab.org/api/rois/83,4,Otsu,50,3,2023-09-13T13:20:37.518565
1,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 11 DF 30s,https://metadata.omero.matolab.org/api/image/84,https://metadata.omero.matolab.org/api/rois/84,4,Otsu,50,3,2023-09-13T13:20:42.330951
2,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 12 DF 30s,https://metadata.omero.matolab.org/api/image/85,https://metadata.omero.matolab.org/api/rois/85,4,Otsu,50,3,2023-09-13T13:20:47.361159
3,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 1 DF 20s,https://metadata.omero.matolab.org/api/image/74,https://metadata.omero.matolab.org/api/rois/74,4,Otsu,50,3,2023-09-13T13:20:52.247125
4,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 2 DF 20s,https://metadata.omero.matolab.org/api/image/75,https://metadata.omero.matolab.org/api/rois/75,4,Otsu,50,3,2023-09-13T13:20:57.243693
5,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 3 DF 30s,https://metadata.omero.matolab.org/api/image/76,https://metadata.omero.matolab.org/api/rois/76,4,Otsu,50,3,2023-09-13T13:21:01.934966
6,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 4 DF 30s 2,https://metadata.omero.matolab.org/api/image/77,https://metadata.omero.matolab.org/api/rois/77,4,Otsu,50,3,2023-09-13T13:21:06.689409
7,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 5 DF 30s,https://metadata.omero.matolab.org/api/image/78,https://metadata.omero.matolab.org/api/rois/78,4,Otsu,50,3,2023-09-13T13:21:11.401101
8,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 6 DF 30s,https://metadata.omero.matolab.org/api/image/79,https://metadata.omero.matolab.org/api/rois/79,4,Otsu,50,3,2023-09-13T13:21:16.292058
9,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 7 DF 30s,https://metadata.omero.matolab.org/api/image/80,https://metadata.omero.matolab.org/api/rois/80,4,Otsu,50,3,2023-09-13T13:21:20.770483
10,190C_1000h_1,190.0,1000.0,0,https://metadata.omero.matolab.org/api/dataset/53,Stelle 8 DF 30s,https://metadata.omero.matolab.org/api/image/81,https://metadata.omero.matolab.org/api/rois/81,4,Otsu,50,3,2023-09-13T13:21:25.627135
